公司名稱,股票代號,非主管年薪中位數(萬)
全訊,5222,68.6
華宏,8240,68.6
科妍,1786,68.5
強生製藥,4747,68.5
金耘國際,4950,68.5
可寧衛,8422,68.5
三顧,3224,68.4
淳紳,4529,68.4
晶呈科技,4768,68.4
久威,6114,68.4
胡連,6279,68.4
友通,2397,68.3
臺慶科,3357,68.3
科嶠,4542,68.3
安倉,5548,68.3
宏全,9939,68.3
矽格,6257,68.2
星雲,8047,68.2
精剛,1584,68.1
磐儀,3594,68.1
杏國,4192,68.1
永純,4711,68.1
萬年清,6624,68.1
欣新網,2949,68
亞元,6109,68
大宇資,6111,68
寬宏藝術,6596,68
威健生技,6661,68
台通,8011,68
精元,2387,67.9
中湛,6236,67.9
維田,6570,67.8
全域,3067,67.7
永彰,4523,67.7
湯石照明,4972,67.7
松和,5016,67.7
創泓科技,7714,67.7
中華食,4205,67.6
台境*,8476,67.6
立益物流,1443,67.5
泰豐,2102,67.5
友威科,3580,67.5
隆中,6542,67.5
集雅社,2937,67.4
岳豐,6220,67.4
慧友,5484,67.3
國巨,2327,67.2
長佳,4550,67.2
強新,5013,67.2
震旦行,2373,67.1
和康生,1783,67
精湛,2070,67
世禾,3551,67
竹陞科技,6739,67
博大,8109,67
燿華,2367,66.9
長科*,6548,66.9
精華,1565,66.8
美吾華,1731,66.8
意德士科技,7556,66.8
華盈,3520,66.7
信昌電,6173,66.7
科定,6655,66.7
鈦昇,8027,66.7
欣雄,8908,66.7
大成,1210,66.6
亞航,2630,66.6
大綜,3147,66.6
玉晶光,3406,66.6
寶碩,5210,66.6
尖點,8021,66.6
創業家,8477,66.6
三洋實業,1472,66.5
博智,8155,66.5
昱捷,3232,66.3
榮田,7709,66.3
金居,8358,66.3
新纖,1409,66.2
易威,1799,66.2
光群雷,2461,66.1
網龍,3083,66.1
事欣科,4916,66.1
萬旭,6134,66.1
台火,9902,66.1
太子,2511,66
海德威,3268,66
合晶,6182,66
欣巴巴,9906,66
東訊,2321,65.9
國碳科,4754,65.9
力士,4923,65.9
詮欣,6205,65.9
第一銅,2009,65.8
慕康生醫,5398,65.8
欣技,6160,65.8
邦睿生技-創,6955,65.8
燁興,2007,65.7
新光鋼,2031,65.7
力銘,3593,65.7
鑫聯大投控,3709,65.7
台林,5353,65.7
寬魚國際,6101,65.7
富裔,6264,65.7
惠特,6706,65.7
新漢,8234,65.7
興勤,2428,65.6
微端,3285,65.6
永日,4102,65.6
伊雲谷,6689,65.6
騰雲,6870,65.6
宏捷科,8086,65.6
台榮,1220,65.5
天方能源,3073,65.5
泓格,3577,65.5
中台,6923,65.5
春源,2010,65.4
國碩,2406,65.4
上詮,3363,65.4
世紀*,5314,65.2
金橋,6133,65.2
世紀鋼,9958,65.2
信大,1109,65.1
中華化,1727,65.1
優盛,4121,65.1
浪凡,6165,65.1
佳邦,6284,65.1
時報,8923,65.1
華新科,2492,65
加百裕,3323,65
雷科,6207,65
茂生農經,1240,64.9
有益,9962,64.9
東陽,1319,64.8
中化生,1762,64.8
敬鵬,2355,64.8
廣寰科,3287,64.8
鼎翰,3611,64.8
業旺,1475,64.7
濱川,1569,64.7
台玻,1802,64.7
時碩工業,4566,64.7
宏齊,6168,64.7
大毅,2478,64.6
怡利電,2497,64.6
及成,3095,64.6
璟德,3152,64.6
望隼,4771,64.6
友輝,4933,64.6
勤美,1532,64.5
寶齡富錦,1760,64.5
鉅祥,2476,64.5
英濟,3294,64.5
川寶,1595,64.4
福永生技,4183,64.4
宇智,6470,64.4
億泰,1616,64.3
燦坤,2430,64.3
華經,2468,64.3
禾聯碩,5283,64.3
光焱科技,7728,64.3
全國,9937,64.3
中釉,1809,64.2
創見,2451,64.2
幸康,3332,64.2
州巧,3543,64.2
正能量智能,5348,64.2
高技,5439,64.2
金萬林-創,6645,64.2
樂斯科,6662,64.2
沈氏,8921,64.2
雋揚,1439,64.1
晉倫,6151,64.1
詠業,6792,64.1
錸寶,8104,64.1
位速,3508,64
三一東林,3609,64
拓凱,4536,64
誠美材,4960,64
瑞祺電通,6416,64
柏文,8462,64
大成鋼,2027,63.9
精確,3162,63.9
光環,3234,63.9
中揚光,6668,63.9
亞崴,1530,63.8
喬山,1736,63.8
允強,2034,63.8
磐亞,4707,63.6
瀧澤科,6609,63.6
鴻碩,3092,63.5
曜越,3540,63.5
景碩,3189,63.4
台端,3432,63.4
夠麻吉,8472,63.4
誠品生活,2926,63.2
千附精密,6829,63.2
東碩,3272,63.1
美琪瑪,4721,63.1
亨泰光,6747,63.1
巨虹,8084,63.1
聯華食,1231,63
神腦,2450,63
國賓,2704,63
燦星網,4930,63
亞泰金屬,6727,63
南緯,1467,62.9
太普高,3284,62.9
商之器,8409,62.9
建榮,5340,62.8
台半,5425,62.8
立碁,8111,62.8
憶聲,3024,62.7
聯鈞,3450,62.7
宇隆,2233,62.6
寒舍,2739,62.6
中福,1435,62.5
可成,2474,62.5
浩泰,4131,62.5
有成精密,4949,62.5
展宇,1776,62.4
華泰,2329,62.4
全家餐飲,7708,62.4
恒耀國際,8349,62.4
哲固,3434,62.3
鉅陞,5529,62.3
全達,8068,62.3
宏致,3605,62.2
晟田,4541,62
天剛,5310,62
大國鋼,8415,62
千附,8383,61.9
幃翔,6185,61.8
威力暘-創,6988,61.8
銘異,3060,61.7
新華,5481,61.7
森鉅,8942,61.7
中視,9928,61.7
福壽,1219,61.6
宏洲,1413,61.6
軒郁,6703,61.6
聯策,6658,61.5
台聯電,4905,61.4
振曜,6143,61.4
江申,1525,61.3
西柏,3541,61.3
德微,3675,61.3
橙的,4554,61.3
華凌,6916,61.3
巨大,9921,61.3
白紗科,8401,61.2
中纖,1718,61.1
宏碩系統,6895,61.1
強茂,2481,61
協禧,3071,61
興采,4433,61
中櫃,2613,60.9
聯發國際,2756,60.9
安可,3615,60.9
玖鼎電力,4588,60.9
桂盟,5306,60.9
沛波,6248,60.9
大華,9905,60.9
彰源,2030,60.8
順德,2351,60.8
聯合再生,3576,60.8
銘鈺,4545,60.8
昱泉,6169,60.8
向榮生技-創,6794,60.8
生展,8279,60.8
揚秦,2755,60.7
懷特,4108,60.7
大豐電,6184,60.7
福懋科,8131,60.7
聚隆,1466,60.6
寶一,8222,60.6
健和興,3003,60.5
全譜,6228,60.5
綠電,8440,60.5
海光,2038,60.4
東台,4526,60.4
辣椒,4946,60.4
聯茂,6213,60.4
愛之味,1217,60.3
安心,1259,60.3
厚生,2107,60.3
聯德,3308,60.3
世坤,4305,60.3
撼訊,6150,60.2
佳穎,3310,60.1
鑫禾,4999,60.1
虹堡,5258,60.1
亞弘電,6201,60.1
啟發電,6512,60
山富,2743,59.9
統領,2910,59.9
鴻名,3021,59.9
豪展,4735,59.9
南良,5450,59.9
台微醫,6767,59.9
豐謙,5523,59.7
大武山,6952,59.7
廣積,8050,59.7
漢田生技,1294,59.6
新紡,1419,59.6
大將,1453,59.6
一詮,2486,59.6
雲嘉南,3191,59.6
勝德,3296,59.6
育富,6194,59.6
瑞耘,6532,59.6
富強鑫,6603,59.6
